iter	Passed	Remaining
788	3454	1799
789	3457	1794
790	3460	1789
791	3464	1784
792	3467	1779
793	3470	1774
794	3473	1769
795	3476	1764
796	3479	1759
797	3483	1754
798	3486	1749
799	3489	1744
800	3492	1739
801	3495	1734
802	3498	1729
803	3502	1724
804	3505	1719
805	3508	1715
806	3511	1710
807	3514	1705
808	3517	1700
809	3521	1695
810	3524	1690
811	3527	1685
812	3530	1680
813	3553	1685
814	3560	1681
815	3564	1677
816	3567	1672
817	3570	1667
818	3573	1662
819	3576	1657
820	3579	1652
821	3583	1647
822	3586	1642
823	3589	1637
824	3592	1633
825	3595	1628
826	3598	1623
827	3602	1618
828	3605	1613
829	3608	1608
830	3611	1603
831	3614	1598
832	3617	1593
833	3620	1588
834	3623	1584
835	3627	1579
836	3630	1574
837	3634	1569
838	3639	1565
839	3642	1561
840	3646	1556
841	3649	1551
842	3652	1546
843	3656	1542
844	3659	1537
845	3662	1532
846	3665	1527
847	3668	1522
848	3672	1518
849	3679	1515
850	3685	1511
851	3690	1507
852	3693	1502
853	3696	1497
854	3700	1493
855	3703	1488
856	3706	1483
857	3710	1478
858	3713	1474
859	3716	1469
860	3719	1464
861	3725	1460
862	3730	1456
863	3738	1453
864	3742	1449
865	3745	1444
866	3748	1439
867	3751	1435
868	3755	1430
869	3759	1425
870	3763	1421
871	3766	1416
872	3772	1413
873	3781	1410
874	3787	1406
875	3790	1401
876	3794	1397
877	3797	1392
878	3801	1388
879	3804	1383
880	3808	1379
881	3811	1374
882	3825	1373
883	3833	1370
884	3838	1366
885	3841	1361
886	3845	1356
887	3848	1352
888	3851	1347
889	3855	1343
890	3859	1338
891	3862	1333
892	3881	1334
893	3886	1330
894	3892	1326
895	3900	1323
896	3907	1320
897	3921	1318
898	3927	1314
899	3932	1310
900	3937	1306
901	3941	1302
902	3945	1297
903	3950	1293
904	3957	1289
905	3968	1287
906	3974	1283
907	3978	1279
908	3983	1275
909	3987	1270
910	3993	1266
911	4003	1264
912	4006	1259
913	4009	1254
914	4014	1250
915	4017	1245
916	4020	1240
917	4023	1235
918	4026	1231
919	4030	1226
920	4033	1221
921	4038	1217
922	4041	1212
923	4044	1208
924	4047	1203
925	4050	1198
926	4055	1194
927	4075	1194
928	4082	1190
929	4085	1186
930	4088	1181
931	4091	1176
